# spack find --format "{name},{version},{compiler},{variants},{arch}"
git,2.31.1,cce@12.0.1,+man+nls+perl~svn~tcltk,cray-sles15-zen2
git,2.31.1,gcc@7.5.0,+man+nls+perl~svn~tcltk,linux-sles15-x86_64
git,2.31.1,gcc@10.2.0,+man+nls+perl~svn~tcltk,cray-sles15-zen2
git,2.31.1,gcc@10.3.0,+man+nls+perl~svn~tcltk,cray-sles15-zen2
glib,2.68.2,gcc@7.5.0,~libmount patches=b3fd45063a19c871048aa1f28692293ab8971a871bdcbe65f06f17fdd79db9e2 tracing=none,linux-sles15-x86_64
glm,0.9.9.8,cce@12.0.0,~ipo build_type=RelWithDebInfo,cray-sles15-zen2
glm,0.9.9.8,cce@12.0.1,~ipo build_type=RelWithDebInfo,cray-sles15-zen2
glm,0.9.9.8,gcc@10.2.0,~ipo build_type=RelWithDebInfo,cray-sles15-zen2
glm,0.9.9.8,gcc@10.3.0,~ipo build_type=RelWithDebInfo,cray-sles15-zen2
globalarrays,5.8,cce@12.0.0,~scalapack armci=mpi-ts,cray-sles15-zen2
globalarrays,5.8,cce@12.0.1,~scalapack armci=mpi-ts,cray-sles15-zen2
globalarrays,5.8,gcc@10.2.0,~scalapack armci=mpi-ts,cray-sles15-zen2
globalarrays,5.8,gcc@10.3.0,~scalapack armci=mpi-ts,cray-sles15-zen2
glproto,1.4.17,gcc@7.5.0,,linux-sles15-x86_64
gmake,4.3,cce@12.0.0,~guile+nls,cray-sles15-zen2
gmake,4.3,cce@12.0.1,~guile+nls,cray-sles15-zen2
gmake,4.3,gcc@7.5.0,~guile+nls,linux-sles15-x86_64
gmake,4.3,gcc@10.2.0,~guile+nls,cray-sles15-zen2
gmake,4.3,gcc@10.3.0,~guile+nls,cray-sles15-zen2
gmp,6.2.1,cce@12.0.0,,cray-sles15-zen2
gmp,6.2.1,cce@12.0.1,,cray-sles15-zen2
gmp,6.2.1,gcc@7.5.0,,linux-sles15-x86_64
gmp,6.2.1,gcc@10.2.0,,cray-sles15-zen2
gmp,6.2.1,gcc@10.3.0,,cray-sles15-zen2
gnupg,2.2.19,gcc@7.5.0,,linux-sles15-x86_64
gnuplot,5.2.8,gcc@7.5.0,+X+cairo+gd+libcerf~pbm~qt~wx patches=ad89f23815fd925889ae78009ba22e6f9e4b12fea389280040cef519deafb052,linux-sles15-x86_64
go,1.16.4,gcc@7.5.0,,linux-sles15-x86_64
go-bootstrap,1.4-bootstrap-20171003,gcc@7.5.0,,linux-sles15-x86_64
gobject-introspection,1.56.1,gcc@7.5.0, patches=6f90bb267efa043ed70b900b4b8e2faf9e8133afae311893b01060356ea81bba,7700828b638c85255c87fcc317ea7e9572ff443f65c86648796528885e5b4cea,linux-sles15-x86_64
gobject-introspection,1.56.1,gcc@7.5.0, patches=6f90bb267efa043ed70b900b4b8e2faf9e8133afae311893b01060356ea81bba,7700828b638c85255c87fcc317ea7e9572ff443f65c86648796528885e5b4cea,linux-sles15-x86_64
googletest,1.8.1,cce@12.0.0,+gmock~ipo+pthreads+shared build_type=RelWithDebInfo,cray-sles15-zen2
googletest,1.8.1,cce@12.0.1,+gmock~ipo+pthreads+shared build_type=RelWithDebInfo,cray-sles15-zen2
googletest,1.8.1,gcc@10.2.0,+gmock~ipo+pthreads+shared build_type=RelWithDebInfo,cray-sles15-zen2
googletest,1.8.1,gcc@10.3.0,+gmock~ipo+pthreads+shared build_type=RelWithDebInfo,cray-sles15-zen2
googletest,1.11.0,gcc@7.5.0,~gmock~ipo+pthreads+shared build_type=RelWithDebInfo,linux-sles15-x86_64
gotcha,1.0.3,cce@12.0.0,~ipo~test build_type=RelWithDebInfo,cray-sles15-zen2
gotcha,1.0.3,cce@12.0.1,~ipo~test build_type=RelWithDebInfo,cray-sles15-zen2
gotcha,1.0.3,gcc@10.2.0,~ipo~test build_type=RelWithDebInfo,cray-sles15-zen2
gotcha,1.0.3,gcc@10.3.0,~ipo~test build_type=RelWithDebInfo,cray-sles15-zen2
gperf,3.1,gcc@7.5.0,,linux-sles15-x86_64
gperftools,2.8.1,cce@12.0.0,,cray-sles15-zen2
gperftools,2.8.1,cce@12.0.1,,cray-sles15-zen2
gperftools,2.8.1,gcc@10.2.0,,cray-sles15-zen2
gperftools,2.8.1,gcc@10.3.0,,cray-sles15-zen2
gtk-doc,1.32,gcc@7.5.0, patches=2ba1c038e5bbc82b679684bdcfaf4309c262ebd76ab7b1d8f57c954d6913badb,linux-sles15-x86_64
gtkplus,3.24.26,gcc@7.5.0,~cups~strip buildtype=debugoptimized default_library=shared,linux-sles15-x86_64
harfbuzz,2.6.8,gcc@7.5.0,~graphite2,linux-sles15-x86_64
harfbuzz,2.6.8,gcc@7.5.0,~graphite2,linux-sles15-x86_64
hdf5,1.8.22,cce@12.0.0,~cxx~debug+fortran+hl~java+mpi+pic+shared~szip~threadsafe api=none,cray-sles15-zen2
hdf5,1.8.22,cce@12.0.1,~cxx~debug+fortran+hl~java+mpi+pic+shared~szip~threadsafe api=none,cray-sles15-zen2
hdf5,1.8.22,gcc@10.2.0,~cxx~debug+fortran+hl~java+mpi+pic+shared~szip~threadsafe api=none,cray-sles15-zen2
hdf5,1.8.22,gcc@10.3.0,~cxx~debug+fortran+hl~java+mpi+pic+shared~szip~threadsafe api=none,cray-sles15-zen2
hdf5,1.10.7,cce@12.0.0,+cxx~debug+fortran+hl~java+mpi+pic+shared~szip~threadsafe api=none,cray-sles15-zen2
hdf5,1.10.7,cce@12.0.1,+cxx~debug+fortran+hl~java+mpi+pic+shared~szip~threadsafe api=none,cray-sles15-zen2
hdf5,1.10.7,gcc@10.2.0,+cxx~debug+fortran+hl~java+mpi+pic+shared~szip~threadsafe api=none,cray-sles15-zen2
hdf5,1.10.7,gcc@10.3.0,+cxx~debug+fortran+hl~java+mpi+pic+shared~szip~threadsafe api=none,cray-sles15-zen2
heffte,2.0.0,cce@12.0.0,~cuda+fftw~fortran~ipo~magma~mkl~python+shared build_type=RelWithDebInfo patches=c520da92eb86d41ba6da8a3ec86995ef07489170e93f59c3a7e8908d6336561c,cray-sles15-zen2
heffte,2.0.0,cce@12.0.1,~cuda+fftw~fortran~ipo~magma~mkl~python+shared build_type=RelWithDebInfo patches=c520da92eb86d41ba6da8a3ec86995ef07489170e93f59c3a7e8908d6336561c,cray-sles15-zen2
heffte,2.0.0,gcc@10.2.0,~cuda+fftw~fortran~ipo~magma~mkl~python+shared build_type=RelWithDebInfo patches=c520da92eb86d41ba6da8a3ec86995ef07489170e93f59c3a7e8908d6336561c,cray-sles15-zen2
heffte,2.0.0,gcc@10.3.0,~cuda+fftw~fortran~ipo~magma~mkl~python+shared build_type=RelWithDebInfo patches=c520da92eb86d41ba6da8a3ec86995ef07489170e93f59c3a7e8908d6336561c,cray-sles15-zen2
hip,4.2.0,cce@12.0.0,~ipo build_type=RelWithDebInfo patches=2a4190477b7d9206b9cd8d70770ba0bc007273cbe54772efb12f9ca2e37c0392,e276c4acf3d37712b6bea306fea34f539d3c4f743471e9da208b5eb17b16ae67,cray-sles15-zen2
hip,4.2.0,cce@12.0.1,~ipo build_type=RelWithDebInfo patches=2a4190477b7d9206b9cd8d70770ba0bc007273cbe54772efb12f9ca2e37c0392,e276c4acf3d37712b6bea306fea34f539d3c4f743471e9da208b5eb17b16ae67,cray-sles15-zen2
hip,4.3.0,gcc@10.2.0,~ipo build_type=RelWithDebInfo patches=2a4190477b7d9206b9cd8d70770ba0bc007273cbe54772efb12f9ca2e37c0392,cray-sles15-zen2
hip,4.3.0,gcc@10.3.0,~ipo build_type=RelWithDebInfo patches=2a4190477b7d9206b9cd8d70770ba0bc007273cbe54772efb12f9ca2e37c0392,cray-sles15-zen2
hipblas,4.2.0,cce@12.0.0,~ipo build_type=RelWithDebInfo,cray-sles15-zen2
hipblas,4.2.0,cce@12.0.1,~ipo build_type=RelWithDebInfo,cray-sles15-zen2
hipblas,4.3.0,gcc@10.2.0,~ipo build_type=RelWithDebInfo,cray-sles15-zen2
hipblas,4.3.0,gcc@10.3.0,~ipo build_type=RelWithDebInfo,cray-sles15-zen2
hipsparse,4.2.0,cce@12.0.0,~ipo build_type=RelWithDebInfo,cray-sles15-zen2
hipsparse,4.2.0,cce@12.0.1,~ipo build_type=RelWithDebInfo,cray-sles15-zen2
hipsparse,4.3.0,gcc@10.2.0,~ipo build_type=RelWithDebInfo,cray-sles15-zen2
hipsparse,4.3.0,gcc@10.3.0,~ipo build_type=RelWithDebInfo,cray-sles15-zen2
hpctoolkit,2021.03.01,gcc@10.2.0,~all-static~cray~cuda~mpi+papi~rocm,cray-sles15-zen2
hpctoolkit,2021.03.01,gcc@10.3.0,~all-static~cray~cuda~mpi+papi~rocm,cray-sles15-zen2
hpx,1.6.0,cce@12.0.0,~async_cuda~async_mpi~cuda~examples~generic_coroutines~ipo~tools build_type=RelWithDebInfo cuda_arch=none cxxstd=17 instrumentation=none malloc=tcmalloc max_cpu_count=64 networking=tcp,cray-sles15-zen2
hpx,1.6.0,cce@12.0.1,~async_cuda~async_mpi~cuda~examples~generic_coroutines~ipo~tools build_type=RelWithDebInfo cuda_arch=none cxxstd=17 instrumentation=none malloc=tcmalloc max_cpu_count=64 networking=tcp,cray-sles15-zen2
hpx,1.6.0,gcc@10.2.0,~async_cuda~async_mpi~cuda~examples~generic_coroutines~ipo~tools build_type=RelWithDebInfo cuda_arch=none cxxstd=17 instrumentation=none malloc=tcmalloc max_cpu_count=64 networking=tcp,cray-sles15-zen2
hpx,1.6.0,gcc@10.3.0,~async_cuda~async_mpi~cuda~examples~generic_coroutines~ipo~tools build_type=RelWithDebInfo cuda_arch=none cxxstd=17 instrumentation=none malloc=tcmalloc max_cpu_count=64 networking=tcp,cray-sles15-zen2
hsa-rocr-dev,4.2.0,cce@12.0.0,+image~ipo+shared build_type=Release patches=71e6851d9be8113bfb8d71b66a3171e0d0401bae5e6f161c9e7fe32558261a46,cray-sles15-zen2
hsa-rocr-dev,4.2.0,cce@12.0.1,+image~ipo+shared build_type=Release patches=71e6851d9be8113bfb8d71b66a3171e0d0401bae5e6f161c9e7fe32558261a46,cray-sles15-zen2
hsa-rocr-dev,4.3.0,gcc@10.2.0,+image~ipo+shared build_type=Release patches=71e6851d9be8113bfb8d71b66a3171e0d0401bae5e6f161c9e7fe32558261a46,cray-sles15-zen2
hsa-rocr-dev,4.3.0,gcc@10.3.0,+image~ipo+shared build_type=Release patches=71e6851d9be8113bfb8d71b66a3171e0d0401bae5e6f161c9e7fe32558261a46,cray-sles15-zen2
htop,3.0.2,gcc@7.5.0,+unicode,linux-sles15-x86_64
hwloc,2.4.1,cce@12.0.0,~cairo~cuda~gl~libudev+libxml2~netloc~nvml+pci+shared,cray-sles15-zen2
hwloc,2.4.1,cce@12.0.1,~cairo~cuda~gl~libudev+libxml2~netloc~nvml+pci+shared,cray-sles15-zen2
hwloc,2.4.1,gcc@7.5.0,~cairo~cuda~gl~libudev+libxml2~netloc~nvml+pci+shared,linux-sles15-x86_64
hwloc,2.4.1,gcc@10.2.0,~cairo~cuda~gl~libudev+libxml2~netloc~nvml+pci+shared,cray-sles15-zen2
hwloc,2.4.1,gcc@10.3.0,~cairo~cuda~gl~libudev+libxml2~netloc~nvml+pci+shared,cray-sles15-zen2
hypre,2.20.0,cce@12.0.0,~complex~cuda~debug~int64~internal-superlu~mixedint+mpi~openmp+shared~superlu-dist~unified-memory cuda_arch=none patches=6e3336b1d62155f6350dfe42b0f9ea25d4fa0af60c7e540959139deb93a26059,cray-sles15-zen2
hypre,2.20.0,cce@12.0.1,~complex~cuda~debug~int64~internal-superlu~mixedint+mpi~openmp+shared~superlu-dist~unified-memory cuda_arch=none patches=6e3336b1d62155f6350dfe42b0f9ea25d4fa0af60c7e540959139deb93a26059,cray-sles15-zen2
hypre,2.20.0,gcc@10.2.0,~complex~cuda~debug~int64~internal-superlu~mixedint+mpi~openmp+shared~superlu-dist~unified-memory cuda_arch=none patches=6e3336b1d62155f6350dfe42b0f9ea25d4fa0af60c7e540959139deb93a26059,cray-sles15-zen2
hypre,2.20.0,gcc@10.3.0,~complex~cuda~debug~int64~internal-superlu~mixedint+mpi~openmp+shared~superlu-dist~unified-memory cuda_arch=none patches=6e3336b1d62155f6350dfe42b0f9ea25d4fa0af60c7e540959139deb93a26059,cray-sles15-zen2
icu4c,67.1,gcc@7.5.0, cxxstd=11,linux-sles15-x86_64
imagemagick,7.0.8-7,gcc@7.5.0,,linux-sles15-x86_64
inputproto,2.3.2,gcc@7.5.0,,linux-sles15-x86_64
intel-tbb,2020.3,gcc@10.2.0,+shared+tm cxxstd=default patches=62ba015ebd1819c45bef47411540b789b493e31ca668c4ff4cb2afcbc306b476,ce1fb16fb932ce86a82ca87cf0431d1a8c83652af9f552b264213b2ff2945d73,d62cb666de4010998c339cde6f41c7623a07e9fc69e498f2e149821c0c2c6dd0,cray-sles15-zen2
intel-tbb,2020.3,gcc@10.3.0,+shared+tm cxxstd=default patches=62ba015ebd1819c45bef47411540b789b493e31ca668c4ff4cb2afcbc306b476,ce1fb16fb932ce86a82ca87cf0431d1a8c83652af9f552b264213b2ff2945d73,d62cb666de4010998c339cde6f41c7623a07e9fc69e498f2e149821c0c2c6dd0,cray-sles15-zen2
intel-xed,12.0.1,gcc@10.2.0,~debug~pic patches=acffa07ee4b8e898df18f1439547e45ec9c609328dfb6e1ad2dce416587334d4,cray-sles15-zen2
intel-xed,12.0.1,gcc@10.3.0,~debug~pic patches=acffa07ee4b8e898df18f1439547e45ec9c609328dfb6e1ad2dce416587334d4,cray-sles15-zen2
intltool,0.51.0,gcc@7.5.0, patches=ca9d6562f29f06c64150f50369a24402b7aa01a3a0dc73dce55106f3224330a1,linux-sles15-x86_64
kbproto,1.0.7,gcc@7.5.0,,linux-sles15-x86_64
kokkos,3.4.00,cce@12.0.0,~aggressive_vectorization~compiler_warnings~cuda~cuda_lambda~cuda_ldg_intrinsic~cuda_relocatable_device_code~cuda_uvm~debug~debug_bounds_check~debug_dualview_modify_check~deprecated_code~examples~explicit_instantiation~hpx~hpx_async_dispatch~hwloc~ipo~memkind~numactl+openmp~pic+profiling~profiling_load_print~pthread~qthread+rocm+serial+shared~sycl~tests~tuning~wrapper amdgpu_target=gfx908 build_type=RelWithDebInfo cuda_arch=none std=14,cray-sles15-zen2
kokkos,3.4.00,cce@12.0.1,~aggressive_vectorization~compiler_warnings~cuda~cuda_lambda~cuda_ldg_intrinsic~cuda_relocatable_device_code~cuda_uvm~debug~debug_bounds_check~debug_dualview_modify_check~deprecated_code~examples~explicit_instantiation~hpx~hpx_async_dispatch~hwloc~ipo~memkind~numactl+openmp~pic+profiling~profiling_load_print~pthread~qthread+rocm+serial+shared~sycl~tests~tuning~wrapper amdgpu_target=gfx908 build_type=RelWithDebInfo cuda_arch=none std=14,cray-sles15-zen2
kokkos,3.4.00,gcc@10.2.0,~aggressive_vectorization~compiler_warnings~cuda~cuda_lambda~cuda_ldg_intrinsic~cuda_relocatable_device_code~cuda_uvm~debug~debug_bounds_check~debug_dualview_modify_check~deprecated_code~examples~explicit_instantiation~hpx~hpx_async_dispatch~hwloc~ipo~memkind~numactl+openmp~pic+profiling~profiling_load_print~pthread~qthread+rocm+serial+shared~sycl~tests~tuning~wrapper amdgpu_target=gfx908 build_type=RelWithDebInfo cuda_arch=none std=14,cray-sles15-zen2
kokkos,3.4.00,gcc@10.3.0,~aggressive_vectorization~compiler_warnings~cuda~cuda_lambda~cuda_ldg_intrinsic~cuda_relocatable_device_code~cuda_uvm~debug~debug_bounds_check~debug_dualview_modify_check~deprecated_code~examples~explicit_instantiation~hpx~hpx_async_dispatch~hwloc~ipo~memkind~numactl+openmp~pic+profiling~profiling_load_print~pthread~qthread+rocm+serial+shared~sycl~tests~tuning~wrapper amdgpu_target=gfx908 build_type=RelWithDebInfo cuda_arch=none std=14,cray-sles15-zen2
kokkos,3.4.00,cce@12.0.0,~aggressive_vectorization~compiler_warnings~cuda~cuda_lambda~cuda_ldg_intrinsic~cuda_relocatable_device_code~cuda_uvm~debug~debug_bounds_check~debug_dualview_modify_check~deprecated_code~examples~explicit_instantiation~hpx~hpx_async_dispatch~hwloc~ipo~memkind~numactl~openmp~pic+profiling~profiling_load_print~pthread~qthread~rocm+serial+shared~sycl~tests~tuning~wrapper amdgpu_target=none build_type=RelWithDebInfo cuda_arch=none std=14,cray-sles15-zen2
kokkos,3.4.00,cce@12.0.1,~aggressive_vectorization~compiler_warnings~cuda~cuda_lambda~cuda_ldg_intrinsic~cuda_relocatable_device_code~cuda_uvm~debug~debug_bounds_check~debug_dualview_modify_check~deprecated_code~examples~explicit_instantiation~hpx~hpx_async_dispatch~hwloc~ipo~memkind~numactl~openmp~pic+profiling~profiling_load_print~pthread~qthread~rocm+serial+shared~sycl~tests~tuning~wrapper amdgpu_target=none build_type=RelWithDebInfo cuda_arch=none std=14,cray-sles15-zen2
kokkos,3.4.00,gcc@10.2.0,~aggressive_vectorization~compiler_warnings~cuda~cuda_lambda~cuda_ldg_intrinsic~cuda_relocatable_device_code~cuda_uvm~debug~debug_bounds_check~debug_dualview_modify_check~deprecated_code~examples~explicit_instantiation~hpx~hpx_async_dispatch~hwloc~ipo~memkind~numactl~openmp~pic+profiling~profiling_load_print~pthread~qthread~rocm+serial+shared~sycl~tests~tuning~wrapper amdgpu_target=none build_type=RelWithDebInfo cuda_arch=none std=14,cray-sles15-zen2
kokkos,3.4.00,gcc@10.3.0,~aggressive_vectorization~compiler_warnings~cuda~cuda_lambda~cuda_ldg_intrinsic~cuda_relocatable_device_code~cuda_uvm~debug~debug_bounds_check~debug_dualview_modify_check~deprecated_code~examples~explicit_instantiation~hpx~hpx_async_dispatch~hwloc~ipo~memkind~numactl~openmp~pic+profiling~profiling_load_print~pthread~qthread~rocm+serial+shared~sycl~tests~tuning~wrapper amdgpu_target=none build_type=RelWithDebInfo cuda_arch=none std=14,cray-sles15-zen2
kokkos,3.4.00,cce@12.0.0,~aggressive_vectorization~compiler_warnings~cuda~cuda_lambda~cuda_ldg_intrinsic~cuda_relocatable_device_code~cuda_uvm~debug~debug_bounds_check~debug_dualview_modify_check~deprecated_code~examples~explicit_instantiation~hpx~hpx_async_dispatch~hwloc~ipo~memkind~numactl+openmp~pic+profiling~profiling_load_print~pthread~qthread~rocm+serial+shared~sycl~tests~tuning~wrapper amdgpu_target=none build_type=RelWithDebInfo cuda_arch=none std=14,cray-sles15-zen2
kokkos,3.4.00,cce@12.0.1,~aggressive_vectorization~compiler_warnings~cuda~cuda_lambda~cuda_ldg_intrinsic~cuda_relocatable_device_code~cuda_uvm~debug~debug_bounds_check~debug_dualview_modify_check~deprecated_code~examples~explicit_instantiation~hpx~hpx_async_dispatch~hwloc~ipo~memkind~numactl+openmp~pic+profiling~profiling_load_print~pthread~qthread~rocm+serial+shared~sycl~tests~tuning~wrapper amdgpu_target=none build_type=RelWithDebInfo cuda_arch=none std=14,cray-sles15-zen2
kokkos,3.4.00,gcc@10.2.0,~aggressive_vectorization~compiler_warnings~cuda~cuda_lambda~cuda_ldg_intrinsic~cuda_relocatable_device_code~cuda_uvm~debug~debug_bounds_check~debug_dualview_modify_check~deprecated_code~examples~explicit_instantiation~hpx~hpx_async_dispatch~hwloc~ipo~memkind~numactl+openmp~pic+profiling~profiling_load_print~pthread~qthread~rocm+serial+shared~sycl~tests~tuning~wrapper amdgpu_target=none build_type=RelWithDebInfo cuda_arch=none std=14,cray-sles15-zen2
kokkos,3.4.00,gcc@10.3.0,~aggressive_vectorization~compiler_warnings~cuda~cuda_lambda~cuda_ldg_intrinsic~cuda_relocatable_device_code~cuda_uvm~debug~debug_bounds_check~debug_dualview_modify_check~deprecated_code~examples~explicit_instantiation~hpx~hpx_async_dispatch~hwloc~ipo~memkind~numactl+openmp~pic+profiling~profiling_load_print~pthread~qthread~rocm+serial+shared~sycl~tests~tuning~wrapper amdgpu_target=none build_type=RelWithDebInfo cuda_arch=none std=14,cray-sles15-zen2
kokkos-kernels,3.2.00,cce@12.0.0,~blas~cblas~cublas~cuda~cusparse~ipo~lapack~lapacke~mkl~openmp~pthread~serial~superlu build_type=RelWithDebInfo cuda_arch=none execspace_cuda=auto execspace_openmp=auto execspace_serial=auto execspace_threads=auto layouts=left memspace_cudaspace=auto memspace_cudauvmspace=auto offsets=int,size_t ordinals=int scalars=double,cray-sles15-zen2
kokkos-kernels,3.2.00,cce@12.0.1,~blas~cblas~cublas~cuda~cusparse~ipo~lapack~lapacke~mkl~openmp~pthread~serial~superlu build_type=RelWithDebInfo cuda_arch=none execspace_cuda=auto execspace_openmp=auto execspace_serial=auto execspace_threads=auto layouts=left memspace_cudaspace=auto memspace_cudauvmspace=auto offsets=int,size_t ordinals=int scalars=double,cray-sles15-zen2
kokkos-kernels,3.2.00,gcc@10.2.0,~blas~cblas~cublas~cuda~cusparse~ipo~lapack~lapacke~mkl~openmp~pthread~serial~superlu build_type=RelWithDebInfo cuda_arch=none execspace_cuda=auto execspace_openmp=auto execspace_serial=auto execspace_threads=auto layouts=left memspace_cudaspace=auto memspace_cudauvmspace=auto offsets=int,size_t ordinals=int scalars=double,cray-sles15-zen2
kokkos-kernels,3.2.00,gcc@10.3.0,~blas~cblas~cublas~cuda~cusparse~ipo~lapack~lapacke~mkl~openmp~pthread~serial~superlu build_type=RelWithDebInfo cuda_arch=none execspace_cuda=auto execspace_openmp=auto execspace_serial=auto execspace_threads=auto layouts=left memspace_cudaspace=auto memspace_cudauvmspace=auto offsets=int,size_t ordinals=int scalars=double,cray-sles15-zen2
krb5,1.18.2,gcc@7.5.0,+shared patches=3d75052730690579484e65a5bf0f92f6c3b20d9c43a413862d087774f431d9e9,linux-sles15-x86_64
lapackpp,2021.04.00,gcc@10.2.0,~ipo+shared build_type=RelWithDebInfo,cray-sles15-zen2
lapackpp,2021.04.00,gcc@10.3.0,~ipo+shared build_type=RelWithDebInfo,cray-sles15-zen2
lcms,2.9,gcc@7.5.0,,linux-sles15-x86_64
legion,21.03.0,cce@12.0.0,~bindings~bounds_checks~cuda~cuda_hijack~cuda_unsupported_compiler~enable_tls~fortran~gasnet_debug~hdf5~hwloc~ipo~kokkos+libdl~native~openmp~papi~privilege_checks~python~redop_complex~shared~spy+zlib build_type=RelWithDebInfo conduit=none cuda_arch=70 gasnet_root=none max_dims=3 max_fields=512 network=none output_level=warning,cray-sles15-zen2
legion,21.03.0,cce@12.0.1,~bindings~bounds_checks~cuda~cuda_hijack~cuda_unsupported_compiler~enable_tls~fortran~gasnet_debug~hdf5~hwloc~ipo~kokkos+libdl~native~openmp~papi~privilege_checks~python~redop_complex~shared~spy+zlib build_type=RelWithDebInfo conduit=none cuda_arch=70 gasnet_root=none max_dims=3 max_fields=512 network=none output_level=warning,cray-sles15-zen2
legion,21.03.0,gcc@10.2.0,~bindings~bounds_checks~cuda~cuda_hijack~cuda_unsupported_compiler~enable_tls~fortran~gasnet_debug~hdf5~hwloc~ipo~kokkos+libdl~native~openmp~papi~privilege_checks~python~redop_complex~shared~spy+zlib build_type=RelWithDebInfo conduit=none cuda_arch=70 gasnet_root=none max_dims=3 max_fields=512 network=none output_level=warning,cray-sles15-zen2
legion,21.03.0,gcc@10.3.0,~bindings~bounds_checks~cuda~cuda_hijack~cuda_unsupported_compiler~enable_tls~fortran~gasnet_debug~hdf5~hwloc~ipo~kokkos+libdl~native~openmp~papi~privilege_checks~python~redop_complex~shared~spy+zlib build_type=RelWithDebInfo conduit=none cuda_arch=70 gasnet_root=none max_dims=3 max_fields=512 network=none output_level=warning,cray-sles15-zen2
libassuan,2.5.5,gcc@7.5.0,,linux-sles15-x86_64
libbsd,0.11.3,cce@12.0.0,,cray-sles15-zen2
libbsd,0.11.3,cce@12.0.1,,cray-sles15-zen2
libbsd,0.11.3,gcc@7.5.0,,linux-sles15-x86_64
libbsd,0.11.3,gcc@10.2.0,,cray-sles15-zen2
libbsd,0.11.3,gcc@10.3.0,,cray-sles15-zen2
libcerf,1.3,gcc@7.5.0,,linux-sles15-x86_64
libcroco,0.6.13,gcc@7.5.0,,linux-sles15-x86_64
libdwarf,20180129,gcc@10.2.0,,cray-sles15-zen2
libdwarf,20180129,gcc@10.3.0,,cray-sles15-zen2
libedit,3.1-20210216,cce@12.0.0,,cray-sles15-zen2
libedit,3.1-20210216,cce@12.0.1,,cray-sles15-zen2
libedit,3.1-20210216,gcc@7.5.0,,linux-sles15-x86_64
libedit,3.1-20210216,gcc@10.2.0,,cray-sles15-zen2
libedit,3.1-20210216,gcc@10.3.0,,cray-sles15-zen2
libepoxy,1.4.3,gcc@7.5.0,+glx,linux-sles15-x86_64
libevent,2.1.12,gcc@7.5.0,+openssl,linux-sles15-x86_64
libfabric,1.11.0.4.75,cce@12.0.0,~kdreg fabrics=sockets,tcp,udp,cray-sles15-zen2
libfabric,1.11.0.4.75,cce@12.0.1,~kdreg fabrics=sockets,tcp,udp,cray-sles15-zen2
libfabric,1.11.0.4.75,gcc@10.2.0,~kdreg fabrics=sockets,tcp,udp,cray-sles15-zen2
libfabric,1.11.0.4.75,gcc@10.3.0,~kdreg fabrics=sockets,tcp,udp,cray-sles15-zen2
libffi,3.3,cce@12.0.0, patches=26f26c6f29a7ce9bf370ad3ab2610f99365b4bdd7b82e7c31df41a3370d685c0,cray-sles15-zen2
libffi,3.3,cce@12.0.1, patches=26f26c6f29a7ce9bf370ad3ab2610f99365b4bdd7b82e7c31df41a3370d685c0,cray-sles15-zen2
libffi,3.3,gcc@7.5.0, patches=26f26c6f29a7ce9bf370ad3ab2610f99365b4bdd7b82e7c31df41a3370d685c0,linux-sles15-x86_64
libffi,3.3,gcc@10.2.0, patches=26f26c6f29a7ce9bf370ad3ab2610f99365b4bdd7b82e7c31df41a3370d685c0,cray-sles15-zen2
libffi,3.3,gcc@10.3.0, patches=26f26c6f29a7ce9bf370ad3ab2610f99365b4bdd7b82e7c31df41a3370d685c0,cray-sles15-zen2
libfontenc,1.1.3,gcc@7.5.0,,linux-sles15-x86_64
libgcrypt,1.9.3,gcc@7.5.0,,linux-sles15-x86_64
libgd,2.2.4,gcc@7.5.0,,linux-sles15-x86_64
libgit2,1.1.0,gcc@7.5.0,~curl~ipo+ssh build_type=RelWithDebInfo https=system,linux-sles15-x86_64
libgpg-error,1.42,gcc@7.5.0,,linux-sles15-x86_64
libiberty,2.33.1,gcc@10.2.0,+pic,cray-sles15-zen2
libiberty,2.33.1,gcc@10.3.0,+pic,cray-sles15-zen2
libice,1.0.9,gcc@7.5.0,,linux-sles15-x86_64
libiconv,1.16,cce@12.0.0,,cray-sles15-zen2
libiconv,1.16,cce@12.0.1,,cray-sles15-zen2
libiconv,1.16,gcc@7.5.0,,linux-sles15-x86_64
libiconv,1.16,gcc@10.2.0,,cray-sles15-zen2
libiconv,1.16,gcc@10.3.0,,cray-sles15-zen2
libidn2,2.3.0,cce@12.0.0,,cray-sles15-zen2
libidn2,2.3.0,cce@12.0.1,,cray-sles15-zen2
libidn2,2.3.0,gcc@7.5.0,,linux-sles15-x86_64
libidn2,2.3.0,gcc@10.2.0,,cray-sles15-zen2
libidn2,2.3.0,gcc@10.3.0,,cray-sles15-zen2
libjpeg-turbo,2.0.6,gcc@7.5.0,,linux-sles15-x86_64
libksba,1.5.1,gcc@7.5.0,,linux-sles15-x86_64
libmd,1.0.3,cce@12.0.0,,cray-sles15-zen2
libmd,1.0.3,cce@12.0.1,,cray-sles15-zen2
libmd,1.0.3,gcc@7.5.0,,linux-sles15-x86_64
libmd,1.0.3,gcc@10.2.0,,cray-sles15-zen2
libmd,1.0.3,gcc@10.3.0,,cray-sles15-zen2
libmonitor,2021.04.27,gcc@10.2.0,~commrank~dlopen+hpctoolkit,cray-sles15-zen2
